Date,Item Name,Is Bundle,Price,Sales
2022-01-01,Popcorn,No,5.0,83
2022-01-01,Soda,No,3.0,138
2022-01-01,Candy,No,2.0,174
2022-01-01,Nachos,No,4.0,94
2022-01-01,Hotdog,No,6.0,183
2022-01-01,Popcorn & Soda,Yes,7.2,50
2022-01-01,Candy & Soda,Yes,4.5,99
2022-01-01,Nachos & Soda,Yes,6.3,77
2022-01-01,Hotdog & Soda,Yes,8.1,68
2022-01-02,Popcorn,No,5.0,80
2022-01-02,Soda,No,3.0,59
2022-01-02,Candy,No,2.0,79
2022-01-02,Nachos,No,4.0,67
2022-01-02,Hotdog,No,6.0,137
2022-01-02,Popcorn & Soda,Yes,7.2,44
2022-01-02,Candy & Soda,Yes,4.5,33
2022-01-02,Nachos & Soda,Yes,6.3,92
2022-01-02,Hotdog & Soda,Yes,8.1,69
2022-01-03,Popcorn,No,5.0,58
2022-01-03,Soda,No,3.0,158
2022-01-03,Candy,No,2.0,186
2022-01-03,Nachos,No,4.0,181
2022-01-03,Hotdog,No,6.0,65
2022-01-03,Popcorn & Soda,Yes,7.2,44
2022-01-03,Candy & Soda,Yes,4.5,81
2022-01-03,Nachos & Soda,Yes,6.3,98
2022-01-03,Hotdog & Soda,Yes,8.1,34
2022-01-04,Popcorn,No,5.0,69
2022-01-04,Soda,No,3.0,128
2022-01-04,Candy,No,2.0,195
2022-01-04,Nachos,No,4.0,160
2022-01-04,Hotdog,No,6.0,51
2022-01-04,Popcorn & Soda,Yes,7.2,42
2022-01-04,Candy & Soda,Yes,4.5,33
2022-01-04,Nachos & Soda,Yes,6.3,71
2022-01-04,Hotdog & Soda,Yes,8.1,90
2022-01-05,Popcorn,No,5.0,144
2022-01-05,Soda,No,3.0,154
2022-01-05,Candy,No,2.0,57
2022-01-05,Nachos,No,4.0,116
2022-01-05,Hotdog,No,6.0,159
2022-01-05,Popcorn & Soda,Yes,7.2,38
2022-01-05,Candy & Soda,Yes,4.5,40
2022-01-05,Nachos & Soda,Yes,6.3,71
2022-01-05,Hotdog & Soda,Yes,8.1,42
2022-01-06,Popcorn,No,5.0,169
2022-01-06,Soda,No,3.0,190
2022-01-06,Candy,No,2.0,61
2022-01-06,Nachos,No,4.0,86
2022-01-06,Hotdog,No,6.0,123
2022-01-06,Popcorn & Soda,Yes,7.2,81
2022-01-06,Candy & Soda,Yes,4.5,100
2022-01-06,Nachos & Soda,Yes,6.3,31
2022-01-06,Hotdog & Soda,Yes,8.1,85
2022-01-07,Popcorn,No,5.0,109
2022-01-07,Soda,No,3.0,72
2022-01-07,Candy,No,2.0,152
2022-01-07,Nachos,No,4.0,89
2022-01-07,Hotdog,No,6.0,113
2022-01-07,Popcorn & Soda,Yes,7.2,52
2022-01-07,Candy & Soda,Yes,4.5,58
2022-01-07,Nachos & Soda,Yes,6.3,80
2022-01-07,Hotdog & Soda,Yes,8.1,98
2022-01-08,Popcorn,No,5.0,138
2022-01-08,Soda,No,3.0,80
2022-01-08,Candy,No,2.0,69
2022-01-08,Nachos,No,4.0,179
2022-01-08,Hotdog,No,6.0,62
2022-01-08,Popcorn & Soda,Yes,7.2,99
2022-01-08,Candy & Soda,Yes,4.5,96
2022-01-08,Nachos & Soda,Yes,6.3,87
2022-01-08,Hotdog & Soda,Yes,8.1,93
2022-01-09,Popcorn,No,5.0,118
2022-01-09,Soda,No,3.0,108
2022-01-09,Candy,No,2.0,175
2022-01-09,Nachos,No,4.0,160
2022-01-09,Hotdog,No,6.0,111
2022-01-09,Popcorn & Soda,Yes,7.2,45
2022-01-09,Candy & Soda,Yes,4.5,97
2022-01-09,Nachos & Soda,Yes,6.3,44
2022-01-09,Hotdog & Soda,Yes,8.1,84
2022-01-10,Popcorn,No,5.0,84
2022-01-10,Soda,No,3.0,63
2022-01-10,Candy,No,2.0,151
2022-01-10,Nachos,No,4.0,149
2022-01-10,Hotdog,No,6.0,56
2022-01-10,Popcorn & Soda,Yes,7.2,59
2022-01-10,Candy & Soda,Yes,4.5,78
2022-01-10,Nachos & Soda,Yes,6.3,45
2022-01-10,Hotdog & Soda,Yes,8.1,80
2022-01-11,Popcorn,No,5.0,121
2022-01-11,Soda,No,3.0,129
2022-01-11,Candy,No,2.0,132
2022-01-11,Nachos,No,4.0,91
2022-01-11,Hotdog,No,6.0,66
2022-01-11,Popcorn & Soda,Yes,7.2,92
2022-01-11,Candy & Soda,Yes,4.5,74
2022-01-11,Nachos & Soda,Yes,6.3,36
2022-01-11,Hotdog & Soda,Yes,8.1,56
2022-01-12,Popcorn,No,5.0,59
2022-01-12,Soda,No,3.0,83
2022-01-12,Candy,No,2.0,85
2022-01-12,Nachos,No,4.0,55
2022-01-12,Hotdog,No,6.0,195
2022-01-12,Popcorn & Soda,Yes,7.2,35
2022-01-12,Candy & Soda,Yes,4.5,58
2022-01-12,Nachos & Soda,Yes,6.3,54
2022-01-12,Hotdog & Soda,Yes,8.1,84
2022-01-13,Popcorn,No,5.0,130
2022-01-13,Soda,No,3.0,124
2022-01-13,Candy,No,2.0,75
2022-01-13,Nachos,No,4.0,176
2022-01-13,Hotdog,No,6.0,164
2022-01-13,Popcorn & Soda,Yes,7.2,57
2022-01-13,Candy & Soda,Yes,4.5,32
2022-01-13,Nachos & Soda,Yes,6.3,67
2022-01-13,Hotdog & Soda,Yes,8.1,90
2022-01-14,Popcorn,No,5.0,127
2022-01-14,Soda,No,3.0,139
2022-01-14,Candy,No,2.0,70
2022-01-14,Nachos,No,4.0,103
2022-01-14,Hotdog,No,6.0,152
2022-01-14,Popcorn & Soda,Yes,7.2,88
