,Location,Distance from Job Hub (km),Compound Name,Year Unit Ready,House Area (sqm),Number of Bedrooms,Number of Bathrooms,Swimming Pool,Gym,Modern Kitchen,Energy Efficient,Garage,Proximity to Schools,Public Transportation,Price
0,Ain Shams,19,,2026,91,2,1,0,0,0,0,0,0,0,1017461
1,Nasr City,10,,2029,272,2,2,0,0,0,0,0,0,0,2143650
2,Hadayek Al Ahram,10,,2027,98,2,1,0,0,0,0,0,0,0,2822391
3,Hadayek Al Obba,15,,2026,154,1,1,0,0,0,0,0,0,0,941356
4,Sheikh Zayed,4,Compound_87,2028,180,3,2,1,0,1,0,1,0,1,11137056
5,Hadayek Al Obba,16,,2028,192,1,1,0,0,0,0,0,0,0,913522
6,Nasr City,10,,2025,249,3,1,0,0,0,0,0,0,0,3789459
7,Hadayek Al Obba,13,,2022,91,2,1,0,0,0,0,0,0,0,1108725
8,5th Settlement,4,Compound_82,2024,120,4,3,1,0,1,0,0,0,0,10868076
9,Ain Shams,15,,2022,199,2,1,0,0,0,0,0,0,0,1312220
10,Zahraa Al Maadi,8,,2023,246,4,2,0,0,0,0,0,0,0,3373294
11,Nasr City,8,,2025,159,3,1,0,0,0,0,0,0,0,2184719
12,Nasr City,10,,2024,104,4,1,0,0,0,0,0,0,0,2200069
13,Hadayek Al Ahram,8,,2029,196,3,2,0,0,0,0,0,0,0,2762160
14,Sheikh Zayed,4,Compound_74,2025,221,3,3,0,0,0,0,1,0,0,14673575
15,Hadayek Al Ahram,10,,2023,253,3,1,0,0,0,0,0,0,0,3750574
16,Zahraa Al Maadi,10,,2028,259,3,2,0,0,0,0,0,0,0,3460051
17,Hadayek Al Obba,20,,2022,164,1,1,0,0,0,0,0,0,0,1168125
18,Zahraa Al Maadi,9,,2029,86,4,2,0,0,0,0,0,0,0,1788816
19,New Capitol,2,Compound_26,2029,396,4,2,0,0,0,1,0,0,0,6247037
20,Hadayek Al Obba,11,,2025,66,2,1,0,0,0,0,0,0,0,1126160
21,New Capitol,3,Compound_94,2026,177,6,3,0,0,0,1,0,0,0,6523121
22,Zahraa Al Maadi,9,,2026,97,2,1,0,0,0,0,0,0,0,3316992
23,Zahraa Al Maadi,9,,2029,251,4,1,0,0,0,0,0,0,0,2100791
24,Nasr City,6,,2023,220,3,2,0,0,0,0,0,0,0,1503916
25,Hadayek Al Ahram,7,,2027,258,3,2,0,0,0,0,0,0,0,1765452
26,5th Settlement,1,Compound_66,2022,374,5,2,0,1,0,0,0,0,0,5702510
27,Hadayek Al Ahram,10,,2024,262,4,1,0,0,0,0,0,0,0,2603227
28,Hadayek Al Obba,19,,2028,164,2,1,0,0,0,0,0,0,0,1011604
